Kraj_code;Název kraje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
CZ010;Hlavní město Praha;-3,4 ;-3,0 ;-3,1 ;-3,0 ;-1,5 ;-0,6 ;0,2 ;0,8 ;1,7 ;1,7 ;2,0 ;1,5 ;1,4 ;1,4 ;2,0 ;1,9 ;2,2 ;2,4 ;2,3 ;2,1 ;0,8 ;0,6 ;0,5 
CZ020;Středočeský kraj;-2,6 ;-2,2 ;-1,7 ;-2,1 ;-1,1 ;-0,6 ;0,6 ;1,7 ;2,5 ;2,0 ;2,2 ;1,5 ;1,3 ;1,0 ;1,7 ;1,2 ;1,5 ;1,5 ;0,8 ;1,0 ;-0,6 ;-1,2 ;-0,6 
CZ031;Jihočeský kraj;-1,2 ;-1,3 ;-0,8 ;-1,3 ;-0,8 ;-0,4 ;0,3 ;1,1 ;1,3 ;0,9 ;0,8 ;0,0 ;0,2 ;-0,4 ;0,0 ;-0,5 ;0,5 ;0,2 ;0,1 ;-0,3 ;-1,9 ;-2,6 ;-2,0 
CZ032;Plzeňský kraj;-2,0 ;-2,1 ;-1,9 ;-2,3 ;-1,7 ;-0,7 ;-0,2 ;0,8 ;1,1 ;1,0 ;0,7 ;-0,6 ;-0,4 ;-1,0 ;-0,2 ;-0,8 ;-0,4 ;-0,3 ;-0,3 ;-0,6 ;-2,0 ;-3,4 ;-2,0 
CZ041;Karlovarský kraj;-0,4 ;-0,7 ;0,3 ;-0,7 ;-0,4 ;0,1 ;0,7 ;1,7 ;1,7 ;0,9 ;0,7 ;-0,2 ;-0,8 ;-1,2 ;-1,3 ;-1,8 ;-1,2 ;-2,2 ;-2,5 ;-2,0 ;-4,6 ;-7,0 ;-4,0 
CZ042;Ústecký kraj;-0,9 ;-1,2 ;-1,3 ;-1,1 ;-0,4 ;-0,3 ;0,3 ;1,2 ;1,5 ;0,9 ;0,4 ;-0,2 ;-0,9 ;-1,5 ;-0,7 ;-1,1 ;-1,0 ;-0,9 ;-1,5 ;-1,4 ;-3,5 ;-4,9 ;-3,2 
CZ051;Liberecký kraj;-1,0 ;-0,8 ;-0,8 ;-1,0 ;-0,1 ;0,1 ;0,8 ;1,7 ;2,1 ;2,0 ;2,0 ;1,0 ;0,5 ;0,3 ;0,2 ;0,3 ;1,3 ;0,1 ;0,0 ;0,1 ;-1,6 ;-3,4 ;-2,4 
CZ052;Královéhradecký kraj;-1,5 ;-1,5 ;-1,4 ;-1,7 ;-1,0 ;-0,6 ;-0,4 ;1,0 ;1,3 ;0,6 ;0,8 ;-0,6 ;-0,6 ;-0,8 ;-0,2 ;-0,5 ;-0,1 ;-0,1 ;-0,6 ;-0,7 ;-2,1 ;-3,9 ;-2,0 
CZ053;Pardubický kraj;-1,0 ;-1,2 ;-1,1 ;-1,4 ;-0,8 ;-0,5 ;0,2 ;1,1 ;1,3 ;1,2 ;0,8 ;-0,1 ;-0,0 ;-0,6 ;0,6 ;-0,3 ;0,6 ;-0,0 ;-0,0 ;0,2 ;-1,8 ;-3,1 ;-2,1 
CZ063;Kraj Vysočina;-1,2 ;-1,2 ;-0,9 ;-1,2 ;-0,5 ;-0,5 ;0,7 ;1,0 ;1,5 ;0,7 ;0,5 ;0,1 ;-0,1 ;-0,4 ;0,9 ;0,3 ;0,6 ;0,3 ;0,3 ;-0,3 ;-2,2 ;-1,8 ;-1,7 
CZ064;Jihomoravský kraj;-2,2 ;-1,8 ;-1,7 ;-1,8 ;-0,8 ;-0,8 ;-0,1 ;0,5 ;1,7 ;1,4 ;1,3 ;0,8 ;0,5 ;0,7 ;1,2 ;0,6 ;1,2 ;1,0 ;0,9 ;1,0 ;-1,0 ;-1,8 ;-1,0 
CZ071;Olomoucký kraj;-1,9 ;-1,4 ;-1,6 ;-1,2 ;-0,7 ;-0,5 ;0,2 ;0,7 ;1,1 ;0,7 ;0,3 ;-0,4 ;-0,6 ;-0,8 ;-0,1 ;-0,8 ;-0,1 ;-0,6 ;-0,4 ;-0,9 ;-2,4 ;-3,5 ;-2,4 
CZ072;Zlínský kraj;-1,5 ;-1,4 ;-1,1 ;-2,0 ;-1,3 ;-1,0 ;-0,5 ;0,3 ;0,4 ;-0,1 ;0,1 ;-1,0 ;-1,0 ;-1,3 ;-0,9 ;-0,8 ;-0,6 ;-0,5 ;-0,4 ;-0,9 ;-3,4 ;-3,4 ;-2,3 
CZ080;Moravskoslezský kraj;-1,2 ;-1,3 ;-1,3 ;-1,5 ;-1,0 ;-0,7 ;-0,2 ;0,6 ;0,3 ;-0,0 ;-0,2 ;-1,3 ;-1,1 ;-1,4 ;-0,9 ;-1,4 ;-0,9 ;-1,2 ;-1,0 ;-1,4 ;-3,5 ;-4,5 ;-3,5 
