NUTS 1;NUTS 2;NUTS 3
Česká republika;Praha;Hlavní město Praha
Česká republika;Střední Čechy;Středočeský kraj
Česká republika;Jihozápad;Jihočeský kraj
Česká republika;Jihozápad;Plzeňský kraj
Česká republika;Severozápad;Karlovarský kraj
Česká republika;Severozápad;Ústecký kraj
Česká republika;Severovýchod;Liberecký kraj
Česká republika;Severovýchod;Královéhradecký kraj
Česká republika;Severovýchod;Pardubický kraj
Česká republika;Jihovýchod;Kraj Vysočina
Česká republika;Jihovýchod;Jihomoravský kraj
Česká republika;Střední Morava;Olomoucký kraj
Česká republika;Střední Morava;Zlínský kraj
Česká republika;Moravskoslezsko;Moravskoslezský kraj
